date,ipc,ind_man,ind_com,ind_con,ind_ser,iae_np,ideac_ct,ideac_sb,base_mon,caja_bce,casa_osd,cuasidinero,dep_vista,din_elec,esp_mon_cir,liq_m2,mon_frac,mult_m1_bm,mult_m2_bm,ofer_m1,res_ban,agr_raw_mat,apsp_crude,coal,energy,fertil,food_bever,ind_materials,metal,natural_gas,non-fuel,precious_metals,wti_price,pib_nom_USDK,pib_real_USDK,loan_rate,deposit_rate,credit_priv_USDM,CPI_US,TNX,pos_divisas,oro_monetario,DEGs,pos_reserva_FMI,pos_ALADI,pos_sucre,res_internacional,ipp,ipcons
2010-02-01,84.3,181.00012693769304,136.47783643179974,109.21904345831595,139.0302025833179,137.9437417406924,115.6151239,102.7183738,6551.673361,531.617646,543.67,9455.01,5008.04,,3954.471996,18494.96115,77.439156,1.379793,2.822937,9039.951152,1444.474563,115.227490606035,157.627551759214,134.27937609684,173.916610822747,143.644496708021,98.1959554641741,152.492709899271,167.304780160025,169.575336904278,112.414908056612,90.0811826028031,76.39,16551364.333333334,13684310.0,9.1,5.16,13149.68,217.281,3.691052631578947,2607.07,936.17,25.92,26.28,7.55,,3602.99,87.03,214.93
2010-03-01,84.44,184.43446953197162,138.37519328169336,110.24524160153476,140.1384801777352,139.66231179557548,118.151043,120.5250859,6695.645381,482.472129,575.77,9574.54,5250.95,,3927.217513,18830.61218,77.90467,1.382402,2.812367,9256.072183,1632.281069,120.258943209033,168.418970058478,135.874204422791,177.881737141928,140.514900016991,100.808546220475,165.227403688736,183.101335702983,156.591885170094,117.421070025257,92.2088884106879,81.2,16762628.0,13729815.0,9.21,4.87,13448.57,217.353,3.7273913043478264,3003.24,942.29,25.42,26.04,10.08,,4007.06,88.03,215.82
2010-04-01,84.87,185.69870635088355,137.87476619017414,109.97757906130467,139.51991036351288,139.53723899685488,120.4073201,123.84476,6831.639659,504.471386,499.62,9891.83,5120.94,,4029.108256,19120.18201,78.303752,1.350825,2.798769,9228.352008,1720.136265,127.878763033836,179.925033560553,144.40011743282,187.016486043936,135.145153822134,103.435268846651,184.914658744863,207.585119584205,159.722221898567,124.473017697715,95.7408749813612,84.29,16865350.333333332,13801962.0,9.12,4.86,13823.47,217.403,3.8468181818181817,3273.72,996.14,25.3,25.92,0.9,,4321.99,88.08,216.35
2010-05-01,84.89,186.24055977168203,136.99044095001204,110.24036223998793,139.4468951698878,139.50619508396798,122.2496456,120.8114393,7064.795672,462.315846,595.34,9971.79,5215.31,,4078.751796,19344.19273,78.34093,1.326635,2.738111,9372.402726,1850.0471,125.810596023975,165.6916784405,147.422566927113,172.995023697844,130.436130607704,100.038792526618,169.620092415431,187.03336277706,160.589624104284,119.262322764765,99.3554712833985,73.74,16968072.666666668,13874109.0,9.11,4.57,14078.53,217.29,3.4200000000000004,3490.44,1020.01,24.7,25.29,14.89,,4575.33,86.76,216.86
2010-06-01,84.88,188.256602624196,137.99340357397526,110.49599752895715,139.97016277254977,140.33106823538293,123.6253296,121.5761911,6736.687974,417.509187,628.91,10213.64,5206.74,,4065.188455,19564.23432,78.665864,1.388011,2.904132,9350.594319,1546.414468,125.206180651078,165.138989506524,146.479834786621,172.578004659796,123.598660560549,96.9508995598386,157.655759283613,170.553722793631,167.510963283791,114.616671880169,100.909820686458,75.34,17070795.0,13946256.0,9.02,4.4,14372.35,217.199,3.2040909090909087,2978.03,1050.84,24.78,25.36,24.52,,4103.54,87.67,216.82
2010-07-01,84.9,189.49332131784917,139.09426302640816,110.52135574374822,141.2177204615689,141.12306147223376,124.5613148,125.14835,6846.061727,434.403516,587.86,10438.94,5278.79,,4159.288126,19956.81287,79.794747,1.39027,2.915079,9517.872873,1584.715338,121.27712202208,160.711228990322,143.541127889565,171.792191127011,128.499719118154,102.635618371034,151.995766996524,164.205724063897,167.558225038435,115.560130703575,97.7974627458402,76.32,17190316.0,14022801.0,8.99,4.39,14688.46,217.605,3.0114285714285716,2814.76,987.49,25.44,26.04,3.87,,3857.6,88.31,216.36
2010-08-01,84.99,192.5026808473665,138.9205042480171,109.75105880847504,141.51877668905578,141.42135388480347,125.1772066,125.4298153,6806.35528,383.960227,648.85,10524.03,5478.39,,4218.821415,20301.21066,79.969243,1.436478,2.982685,9777.180658,1474.754395,123.996187508242,162.187334003069,137.294238528672,173.136173462369,140.842238427463,104.849951101819,165.725922184277,182.31253494832,162.978505829452,121.088024721519,99.7338103193122,76.6,17309837.0,14099346.0,9.04,4.25,15017.94,217.923,2.6986363636363637,2364.5,1052.53,25.31,25.88,22.18,,3490.4,89.54,216.95
2010-09-01,85.21,193.94930741623193,139.38467833524743,110.91499745981946,142.19512580447446,142.37897538783625,125.6647736,124.6003856,7078.696729,684.825786,626.29,10548.8,5522.67,,4191.923856,20344.65837,81.264515,1.383851,2.874068,9795.858371,1494.392572,130.106189673337,161.719736096112,138.166970284841,172.966605803806,147.894192606528,109.709950125819,169.14795099653,184.666155982048,157.334209175239,125.670942617056,104.757869784279,75.24,17429358.0,14175891.0,9.04,4.25,15397.44,218.275,2.6476190476190475,3193.63,1104.06,25.83,26.69,3.16,,4353.37,88.34,217.43
2010-10-01,85.42,197.2853990756619,140.48628915731152,110.2363357535398,142.45788316229817,143.0536938376967,126.204172,138.5534933,7367.323307,516.765123,648.88,10689.42,5570.34,,4325.188519,20666.24813,81.299613,1.3542,2.805123,9976.828132,1795.190052,140.304874270551,168.869702073782,144.90410405561,182.849997700522,156.203377368134,113.296047826467,179.762226669061,195.445619578442,154.737540963849,131.844995792863,111.308381974091,81.89,17717100.666666668,14326958.333333334,8.94,4.3,15638.07,219.035,2.54,2473.4,1137.64,26.09,26.96,4.79,,3668.88,88.83,216.85
2010-11-01,85.65,198.3169915511537,140.1804286220553,110.28640127694668,142.17431883212598,143.11617974665134,126.9156367,114.4045058,7284.444071,725.014143,629.93,10843.49,5852.3,,4222.609499,21000.16134,81.761841,1.394296,2.882878,10156.67134,1625.128588,149.846019770003,175.613977553227,160.574780784709,190.000575665351,164.497803360751,114.659153693598,187.754038634537,202.821606986924,161.171612425123,135.583601077614,114.724768786986,84.25,18004843.333333332,14478025.666666666,8.94,4.3,15983.69,219.59,2.763,2216.28,1168.68,24.7,26.17,15.3,,3451.12,90.38,216.99
2010-12-01,86.09,201.97857753607184,141.8347558602316,112.03402909363702,143.2861082990902,145.0686851966549,127.8973133,132.2527659,7430.940657,519.195646,677.2,11413.22,6148.33,,4545.383996,22189.36686,82.432862,1.450173,2.986078,10776.14686,1606.728153,159.998827425437,190.2984124256,177.968283431891,201.964972398416,165.851230524666,121.681226721205,198.181740740803,213.358573334678,168.21193083987,142.490463422327,117.490677274434,89.15,18292586.0,14629093.0,8.68,4.28,16385.27,220.472,3.290909090909091,1387.27,1187.26,24.93,26.41,-3.83,,2622.05,90.63,217.52
2011-01-01,86.68,204.37855596924595,141.86436338254097,110.60264730334963,143.60826124607354,145.04530609933485,129.1573009,126.0592933,6748.2217,363.938207,638.38,11236.35,6022.11,,4338.057435,21678.80947,82.292037,1.547439,3.212522,10442.45947,1325.554021,171.98706863405,194.385939591382,195.962421403984,209.939462949,168.841704735531,125.967642207268,209.96283772022,225.057335232345,178.881472580862,147.431015834166,115.211015648044,89.17,18502709.0,14682850.0,8.59,4.55,16537.41,221.187,3.3939999999999997,1677.03,1120.95,25.28,26.79,19.39,,2869.45,91.67,219.4
